date,Amazon australia
2007-01-01,76
2007-01-02,70
2007-01-03,45
2007-01-04,73
2007-01-05,34
2007-01-06,41
2007-01-07,54
2007-01-08,85
2007-01-09,37
2007-01-10,49
2007-01-11,23
2007-01-12,41
2007-01-13,59
2007-01-14,80
2007-01-15,75
2007-01-16,67
2007-01-17,89
2007-01-18,45
2007-01-19,36
2007-01-20,58
2007-01-21,56
2007-01-22,62
2007-01-23,73
2007-01-24,48
2007-01-25,19
2007-01-26,32
2007-01-27,32
2007-01-28,56
2007-01-29,43
2007-01-30,58
2007-01-31,55
2007-02-01,26
2007-02-02,43
2007-02-03,94
2007-02-04,20
2007-02-05,65
2007-02-06,37
2007-02-07,54
2007-02-08,68
2007-02-09,42
2007-02-10,25
2007-02-11,100
2007-02-12,36
2007-02-13,53
2007-02-14,59
2007-02-15,71
2007-02-16,28
2007-02-17,58
2007-02-18,42
2007-02-19,61
2007-02-20,57
2007-02-21,59
2007-02-22,66
2007-02-23,51
2007-02-24,51
2007-02-25,87
2007-02-26,39
2007-02-27,55
2007-02-28,39
2007-03-01,32
2007-03-02,42
2007-03-03,50
2007-03-04,40
2007-03-05,59
2007-03-06,56
2007-03-07,52
2007-03-08,68
2007-03-09,60
2007-03-10,60
2007-03-11,35
2007-03-12,56
2007-03-13,67
2007-03-14,50
2007-03-15,22
2007-03-16,37
2007-03-17,35
2007-03-18,43
2007-03-19,55
2007-03-20,44
2007-03-21,42
2007-03-22,46
2007-03-23,56
2007-03-24,15
2007-03-25,54
2007-03-26,38
2007-03-27,55
2007-03-28,28
2007-03-29,50
2007-03-30,42
2007-03-31,30
2008-01-01,90
2008-01-02,72
2008-01-03,63
2008-01-04,55
2008-01-05,61
2008-01-06,82
2008-01-07,63
2008-01-08,44
2008-01-09,47
2008-01-10,41
2008-01-11,69
2008-01-12,59
2008-01-13,100
2008-01-14,70
2008-01-15,64
2008-01-16,49
2008-01-17,43
2008-01-18,45
2008-01-19,91
2008-01-20,98
2008-01-21,85
2008-01-22,42
2008-01-23,72
2008-01-24,64
2008-01-25,68
2008-01-26,76
2008-01-27,37
2008-01-28,89
2008-01-29,44
2008-01-30,88
2008-01-31,34
2008-02-01,68
2008-02-02,38
2008-02-03,70
2008-02-04,47
2008-02-05,83
2008-02-06,40
2008-02-07,53
2008-02-08,53
2008-02-09,59
2008-02-10,45
2008-02-11,75
2008-02-12,51
2008-02-13,45
2008-02-14,41
2008-02-15,49
2008-02-16,41
2008-02-17,52
2008-02-18,39
2008-02-19,59
2008-02-20,38
2008-02-21,59
2008-02-22,50
2008-02-23,36
2008-02-24,47
2008-02-25,66
2008-02-26,48
2008-02-27,55
2008-02-28,36
2008-02-29,50
2008-03-01,39
2008-03-02,62
2008-03-03,69
2008-03-04,54
2008-03-05,60
2008-03-06,36
2008-03-07,72
2008-03-08,75
2008-03-09,65
2008-03-10,77
2008-03-11,40
2008-03-12,58
2008-03-13,44
2008-03-14,47
2008-03-15,56
2008-03-16,96
2008-03-17,69
2008-03-18,65
2008-03-19,40
2008-03-20,33
2008-03-21,44
2008-03-22,56
2008-03-23,57
2008-03-24,74
2008-03-25,71
2008-03-26,57
2008-03-27,52
2008-03-28,52
2008-03-29,75
2008-03-30,62
2008-03-31,57
2009-01-01,66
2009-01-02,94
2009-01-03,100
2009-01-04,100
2009-01-05,78
2009-01-06,96
2009-01-07,68
2009-01-08,88
2009-01-09,58
2009-01-10,66
2009-01-11,85
2009-01-12,64
2009-01-13,61
2009-01-14,83
2009-01-15,70
2009-01-16,74
2009-01-17,66
2009-01-18,67
2009-01-19,80
2009-01-20,66
2009-01-21,58
2009-01-22,83
2009-01-23,51
2009-01-24,90
2009-01-25,79
2009-01-26,73
2009-01-27,70
2009-01-28,65
2009-01-29,74
2009-01-30,62
2009-01-31,92
2009-02-01,78
2009-02-02,43
2009-02-03,54
2009-02-04,62
2009-02-05,62
2009-02-06,50
2009-02-07,88
2009-02-08,61
2009-02-09,79
2009-02-10,67
2009-02-11,72
2009-02-12,51
2009-02-13,62
2009-02-14,91
2009-02-15,96
2009-02-16,60
2009-02-17,78
2009-02-18,57
2009-02-19,51
2009-02-20,64
2009-02-21,93
2009-02-22,75
2009-02-23,74
2009-02-24,58
2009-02-25,83
2009-02-26,57
2009-02-27,53
2009-02-28,56
2009-03-01,57
2009-03-02,88
2009-03-03,72
2009-03-04,72
2009-03-05,49
2009-03-06,55
2009-03-07,53
2009-03-08,64
2009-03-09,76
2009-03-10,67
2009-03-11,46
2009-03-12,59
2009-03-13,60
2009-03-14,41
2009-03-15,86
2009-03-16,79
2009-03-17,67
2009-03-18,59
2009-03-19,47
2009-03-20,33
2009-03-21,51
2009-03-22,61
2009-03-23,61
2009-03-24,55
2009-03-25,67
2009-03-26,47
2009-03-27,54
2009-03-28,55
2009-03-29,76
2009-03-30,77
2009-03-31,46
2010-01-01,81
2010-01-02,94
2010-01-03,92
2010-01-04,87
2010-01-05,96
2010-01-06,62
2010-01-07,84
2010-01-08,88
2010-01-09,85
2010-01-10,70
2010-01-11,81
2010-01-12,73
2010-01-13,81
2010-01-14,77
