date,Amazon india
2007-01-01,21
2007-01-02,13
2007-01-03,0
2007-01-04,12
2007-01-05,0
2007-01-06,33
2007-01-07,100
2007-01-08,12
2007-01-09,23
2007-01-10,35
2007-01-11,23
2007-01-12,25
2007-01-13,0
2007-01-14,49
2007-01-15,23
2007-01-16,46
2007-01-17,11
2007-01-18,11
2007-01-19,25
2007-01-20,32
2007-01-21,16
2007-01-22,44
2007-01-23,11
2007-01-24,11
2007-01-25,35
2007-01-26,12
2007-01-27,32
2007-01-28,31
2007-01-29,0
2007-01-30,33
2007-01-31,22
2007-02-01,23
2007-02-02,24
2007-02-03,0
2007-02-04,16
2007-02-05,22
2007-02-06,22
2007-02-07,11
2007-02-08,11
2007-02-09,0
2007-02-10,16
2007-02-11,0
2007-02-12,0
2007-02-13,11
2007-02-14,0
2007-02-15,11
2007-02-16,24
2007-02-17,33
2007-02-18,49
2007-02-19,0
2007-02-20,0
2007-02-21,23
2007-02-22,34
2007-02-23,12
2007-02-24,15
2007-02-25,45
2007-02-26,32
2007-02-27,21
2007-02-28,22
2007-03-01,33
2007-03-02,12
2007-03-03,91
2007-03-04,15
2007-03-05,0
2007-03-06,11
2007-03-07,32
2007-03-08,11
2007-03-09,23
2007-03-10,15
2007-03-11,0
2007-03-12,43
2007-03-13,11
2007-03-14,22
2007-03-15,0
2007-03-16,23
2007-03-17,15
2007-03-18,29
2007-03-19,21
2007-03-20,67
2007-03-21,0
2007-03-22,22
2007-03-23,23
2007-03-24,15
2007-03-25,0
2007-03-26,10
2007-03-27,0
2007-03-28,32
2007-03-29,43
2007-03-30,23
2007-03-31,31
2008-01-01,34
2008-01-02,68
2008-01-03,29
2008-01-04,38
2008-01-05,38
2008-01-06,66
2008-01-07,35
2008-01-08,41
2008-01-09,41
2008-01-10,76
2008-01-11,21
2008-01-12,56
2008-01-13,81
2008-01-14,40
2008-01-15,67
2008-01-16,47
2008-01-17,47
2008-01-18,14
2008-01-19,18
2008-01-20,70
2008-01-21,80
2008-01-22,59
2008-01-23,59
2008-01-24,40
2008-01-25,57
2008-01-26,92
2008-01-27,54
2008-01-28,19
2008-01-29,19
2008-01-30,33
2008-01-31,27
2008-02-01,0
2008-02-02,100
2008-02-03,45
2008-02-04,27
2008-02-05,41
2008-02-06,20
